WARNING: 2 open meshes merged
     Merged: Canard
     Merged: WingGeom
...Mass Properties...
101 Num Comps
101 Total Num Meshes
46784 Total Num Tris

7.071729363383923e+02             Total Mass
9.976099591865617e+00 6.096654543928714e-04 1.360138528800977e+00       Center of Gravity
2.575143095200070e+04 3.501818510897282e+04 5.727190790174054e+04       Ixx, Iyy, Izz
-1.812060190385435e+01 2.119755715946730e+03 2.621258395652244e+01       Ixy, Ixz, Iyz
7.071729363383923e+02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Prop IIB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IIB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IIB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IIB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IIB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IIB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IB	1.167997872974807e-01	1.042196551146029e+01	1.423853366487761e+01	1.391014902262425e+00	1.577007425329431e-02	7.886654290627565e-02	9.437366769761582e-02	-4.862726028463543e-04	1.877122597056012e-05	9.957440058966582e-04	1.167997872974807e-01
Prop IB	1.167997872974816e-01	1.042196551146028e+01	1.383588720312818e+01	5.782476351664488e-01	1.506851610878634e-02	8.900345160852968e-02	8.353520085085468e-02	1.150651889196317e-04	-1.020320462384380e-05	-6.934219740118600e-03	1.167997872974816e-01
Prop IB	1.167997872974792e-01	1.042196551146029e+01	1.293068687158394e+01	5.205660662373588e-01	1.503582591337497e-02	9.083154370077999e-02	8.167441856318999e-02	1.594853343904374e-04	-5.606541291812979e-05	5.866891539143673e-03	1.167997872974792e-01
Prop IB	1.167997872974810e-01	1.042196551146028e+01	1.242813300178906e+01	1.275651764404245e+00	1.510666263173425e-02	7.887676545364293e-02	9.370003352868853e-02	1.041634200682146e-04	-1.353515122991850e-04	1.017855819286351e-03	1.167997872974810e-01
Prop IB	1.167997872974801e-01	1.042196551146030e+01	1.283077946353847e+01	2.088419031500216e+00	1.506350440625709e-02	8.900504180883519e-02	8.352859894801798e-02	-1.520548238605346e-04	1.617080127973998e-05	-6.929579795539081e-03	1.167997872974801e-01
Prop IB	1.167997872974810e-01	1.042196551146028e+01	1.373597979508273e+01	2.146100600429305e+00	1.504286689647252e-02	9.084109902112676e-02	8.167190422594318e-02	-1.491470360594244e-04	-6.738104940285030e-06	5.864929295997243e-03	1.167997872974810e-01
Prop IB	1.167997872974808e-01	1.042196551146029e+01	-1.423853366487760e+01	1.391014902262422e+00	1.628993000661321e-02	7.886725391088345e-02	9.489281244632684e-02	2.899955916163594e-04	-7.801492561695597e-06	-9.897446249794676e-04	1.167997872974808e-01
Prop IB	1.167996705376669e-01	1.042196551146028e+01	-1.383588678722574e+01	5.782482741606925e-01	1.509417491598164e-02	8.901583605515286e-02	8.354831779518168e-02	-1.029731995496292e-04	6.924401426326572e-05	6.945752704339042e-03	1.167996705376669e-01
Prop IB	1.167996705376643e-01	1.042196551146031e+01	-1.293068721701799e+01	5.205667459165568e-01	1.502153989909075e-02	9.081319930992239e-02	8.167831952351823e-02	-1.205122669823505e-04	9.059921786706802e-05	-5.847103948428126e-03	1.167996705376643e-01
Prop IB	1.167997872974810e-01	1.042196551146029e+01	-1.242813300178908e+01	1.275651764404246e+00	1.509216443302084e-02	7.888920975622392e-02	9.367309102739430e-02	-3.327511519250813e-04	-7.545173407064903e-05	-1.003055133392901e-03	1.167997872974810e-01
Prop IB	1.167996705376654e-01	1.042196551146028e+01	-1.283077987944090e+01	2.088418392505970e+00	1.507778123030172e-02	8.900225020742192e-02	8.354550995723074e-02	-8.113099575757086e-05	-9.017588953038168e-05	6.932960239512644e-03	1.167996705376654e-01
Prop IB	1.167996705376660e-01	1.042196551146029e+01	-1.373597944964870e+01	2.146099920750108e+00	1.503275365653643e-02	9.082318498088064e-02	8.167954761000763e-02	1.813722882317597e-04	-1.178056396504630e-04	-5.854708037351881e-03	1.167996705376660e-01
Prop IMB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IMB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IMB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IMB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IMB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IMB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IMB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IMB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IMB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IMB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IMB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IMB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop MB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop MB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop MB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop MB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop MB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop MB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop MB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop MB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop MB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop MB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop MB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop MB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop OB	1.193107918030627e-01	1.222076889863154e+01	2.424178550820887e+01	2.242525585161492e+00	1.561497685587641e-02	8.057645745375872e-02	9.589400628305324e-02	-1.507505194303918e-04	3.937353343394690e-05	1.007862601249026e-03	1.193107918030627e-01
Prop OB	1.193107918030628e-01	1.222076889863155e+01	2.383593466321557e+01	1.427853464348618e+00	1.555278948650245e-02	9.107673155166746e-02	8.533154481577067e-02	1.269707418040186e-04	4.504140899051343e-05	-7.142527632551396e-03	1.193107918030628e-01
Prop OB	1.193107918030599e-01	1.222076889863154e+01	2.292748248833999e+01	1.371994545853811e+00	1.552022472858335e-02	9.287380982999087e-02	8.350190177952420e-02	1.536212131275062e-04	-3.030962677582335e-05	6.076311468813062e-03	1.193107918030599e-01
Prop OB	1.193107918030625e-01	1.222076889863155e+01	2.242488115845779e+01	2.130807748171841e+00	1.557221598625961e-02	8.056932974756789e-02	9.585837311962686e-02	1.142783396015421e-04	-1.454544462720263e-04	1.002650034231457e-03	1.193107918030625e-01
Prop OB	1.193107918030621e-01	1.222076889863155e+01	2.283073200345112e+01	2.945479868984703e+00	1.552974687906837e-02	9.105451731026713e-02	8.533071644973608e-02	-1.959269696990926e-04	5.259054085934467e-05	-7.130469480078099e-03	1.193107918030621e-01
Prop OB	1.193107918030599e-01	1.222076889863153e+01	2.373918417832664e+01	3.001338787479523e+00	1.551777958020323e-02	9.288305294120167e-02	8.349021351993302e-02	-1.469430713219459e-04	-7.529731084995210e-06	6.071993834434919e-03	1.193107918030599e-01
Prop OB	1.193107918030627e-01	1.222076889863154e+01	-2.424178550820887e+01	2.242525585161492e+00	1.555938620834693e-02	8.058040077154466e-02	9.583447231773773e-02	1.073179653891394e-04	4.373371854984438e-05	-9.999869380543035e-04	1.193107918030627e-01
Prop OB	1.193107918030628e-01	1.222076889863155e+01	-2.383593466321557e+01	1.427853464348618e+00	1.555216636584320e-02	9.106555444779027e-02	8.534209879898874e-02	-4.739580027873438e-05	6.733461353246560e-05	7.141158231747400e-03	1.193107918030628e-01
Prop OB	1.193107918030596e-01	1.222076889863155e+01	-2.292748248834001e+01	1.371994545853813e+00	1.550514250449124e-02	9.285945328388973e-02	8.350117610153286e-02	-1.568023404123487e-04	1.272257609302797e-04	-6.061269305805625e-03	1.193107918030596e-01
Prop OB	1.193107918030625e-01	1.222076889863154e+01	-2.242488115845776e+01	2.130807748171840e+00	1.556297100536810e-02	8.058281594095348e-02	9.583564194534981e-02	-3.374038949173847e-04	-7.370829635441770e-05	-9.947680826981715e-04	1.193107918030625e-01
Prop OB	1.193107918030618e-01	1.222076889863155e+01	-2.283073200345114e+01	2.945479868984706e+00	1.554680593929792e-02	9.105452118317919e-02	8.534777163705326e-02	-1.328029292656569e-04	-8.565461807640248e-05	7.137457394817360e-03	1.193107918030618e-01
Prop OB	1.193107918030596e-01	1.222076889863154e+01	-2.373918417832668e+01	3.001338787479524e+00	1.551632688079295e-02	9.287572253194686e-02	8.349609122977730e-02	1.578512396905729e-04	-1.089220301233314e-04	-6.063957567086956e-03	1.193107918030596e-01
Twin booom	9.467355803120167e+00	1.759968967923371e+01	6.666666666666646e+00	1.000007596087118e+00	1.501193332041644e+00	2.362980038907226e+02	2.369198928072863e+02	-1.254196467265038e-01	3.144046163198355e-03	3.669195348482174e-02	9.467355803120167e+00
Twin booom	9.467468563313810e+00	1.759979700878975e+01	-6.666667895431702e+00	1.000003797998323e+00	1.584716697527095e+00	2.363042060269387e+02	2.370156797319590e+02	-6.380200404248738e-02	-2.007924948443394e-03	3.578075304973658e-02	9.467468563313810e+00
Twin Vstab Tail	7.884951299774499e+00	2.602681302225706e+01	6.666666666666672e+00	2.757638734880437e+00	4.860640988236800e+01	6.360338125742081e+01	1.543104890597715e+01	-3.577813754636675e-02	1.243002738374129e+01	-1.468136712831070e-02	7.884951299774499e+00
Twin Vstab Tail	7.884850398202444e+00	2.602680554397172e+01	-6.666665380874663e+00	2.757665314877910e+00	4.859452685118431e+01	6.359669696856162e+01	1.542564521022665e+01	-4.070877709220252e-02	1.243029555118417e+01	-1.411247402394105e-02	7.884850398202444e+00
Twin Hstab Tail	2.575681759432756e+00	2.833035552353034e+01	6.753704469025869e+00	6.666641072096640e+00	9.008097011047608e+00	2.111127432593590e+00	1.107484561890137e+01	3.255087233479322e-02	-2.693737144897124e-03	5.488133692078969e-03	2.575681759432756e+00
Twin Hstab Tail	2.575681759432760e+00	2.833035552353031e+01	-6.753704469025857e+00	6.666641072096640e+00	9.039006707075734e+00	2.112550183939632e+00	1.110433256358346e+01	-3.463685630606059e-02	-1.096927038403511e-03	4.459873652807670e-03	2.575681759432760e+00
WingGeom	6.148281204043511e+01	1.358156291151336e+01	-2.806744061630017e-06	1.289861469903386e+00	1.072426323870088e+04	1.864454350548009e+02	1.089358814496871e+04	-1.184247575802845e-01	1.701447801575086e+01	2.106977669540317e-01	6.148281204043511e+01
PropGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
PropGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
PropGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
PropGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
PropGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
PropGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Engine Block	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Battery Box	7.085961330007909e-04	8.623162124289031e+00	-1.392265395293007e+00	-1.453297155471618e+00	2.804715264325413e-07	4.777956354764440e-04	4.778181655272693e-04	-9.137846683499681e-07	0.000000000000000e+00	-9.692177775665528e-08	7.085961330007909e-04
Battery Box	7.085961330008024e-04	8.623162124289031e+00	1.392265395293007e+00	-1.453297155471618e+00	3.584124540981567e-07	4.777337295223059e-04	4.779580124090884e-04	0.000000000000000e+00	-6.079721482544910e-07	9.692177775665846e-08	7.085961330008024e-04
Fuel Tank	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Fuel Tank	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	7.071729363383923e+02	9.976099591865617e+00	6.096654543928714e-04	1.360138528800977e+00	2.575143095200070e+04	3.501818510897282e+04	5.727190790174054e+04	-1.812060190385435e+01	2.119755715946730e+03	2.621258395652244e+01	7.071729363383923e+02

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
20 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
