Twin booom_PLXMRMKESW_1.dat
28.0 1.0
27.90076446533203 1.108568549156189
27.781694412231445 1.2396396398544312
27.645572662353516 1.3664263486862183
27.49519157409668 1.4621421098709106
27.33333396911621 1.5
25.520000457763672 1.5
21.426666259765625 1.5
16.573333740234375 1.5
12.479999542236328 1.5
10.666666984558105 1.5
10.50480842590332 1.4621421098709106
10.354426383972168 1.3664263486862183
10.218306541442871 1.2396396398544312
10.099235534667969 1.108568549156189
10.0 1.0
10.099235534667969 0.891431450843811
10.218306541442871 0.7603603601455688
10.354426383972168 0.633573591709137
10.50480842590332 0.5378578901290894
10.666666984558105 0.5
12.479999542236328 0.5
16.573333740234375 0.5
21.426666259765625 0.5
25.520000457763672 0.5
27.33333396911621 0.5
27.49519157409668 0.5378578901290894
27.645572662353516 0.633573591709137
27.781694412231445 0.7603603601455688
27.90076446533203 0.891431450843811
28.0 1.0
