LG rear_LAMYMEDSTW_0.dat
13.333333015441895 -4.658257961273193
13.333333015441895 -4.6333513259887695
13.333333015441895 -4.635635852813721
13.333333015441895 -4.644673824310303
13.333333015441895 -4.640026092529297
13.333333015441895 -4.601254940032959
13.333333015441895 -4.017392635345459
13.333333015441895 -2.711846113204956
13.333333015441895 -1.165738582611084
13.333333015441895 0.13980767130851746
13.333333015441895 0.7236700057983398
13.333333015441895 0.7544542551040649
13.333333015441895 0.7385672330856323
13.333333015441895 0.7015877366065979
13.333333015441895 0.6690946221351624
13.333333015441895 0.6666666865348816
13.333333015441895 0.6417598724365234
13.333333015441895 0.6440445780754089
13.333333015441895 0.6530823707580566
13.333333015441895 0.6484347581863403
13.333333015441895 0.6096633076667786
13.333333015441895 0.025800960138440132
13.333333015441895 -1.27974534034729
13.333333015441895 -2.825852870941162
13.333333015441895 -4.131399154663086
13.333333015441895 -4.715261459350586
13.333333015441895 -4.7460455894470215
13.333333015441895 -4.730158805847168
13.333333015441895 -4.693179130554199
13.333333015441895 -4.660686016082764
13.333333015441895 -4.658257961273193
