rear wheel_SPZQQYVMES_1.dat
13.333333015441895 -4.3401360511779785
13.16145133972168 -4.185586929321289
12.9049654006958 -3.97043514251709
12.634421348571777 -3.7492244243621826
12.42036247253418 -3.5764987468719482
12.333333015441895 -3.506802797317505
12.350666999816895 -3.506802797317505
12.392000198364258 -3.506802797317505
12.441333770751953 -3.506802797317505
12.482666969299316 -3.506802797317505
12.5 -3.506802797317505
12.572524070739746 -3.579327344894409
12.750906944274902 -3.7577097415924072
12.976360321044922 -3.9831631183624268
13.19009780883789 -4.196900844573975
13.333333015441895 -4.3401360511779785
13.19009780883789 -4.483371257781982
12.976360321044922 -4.697109222412109
12.750906944274902 -4.922562599182129
12.572524070739746 -5.100944995880127
12.5 -5.173469543457031
12.482666969299316 -5.173469543457031
12.441333770751953 -5.173469543457031
12.392000198364258 -5.173469543457031
12.350666999816895 -5.173469543457031
12.333333015441895 -5.173469543457031
12.42036247253418 -5.10377311706543
12.634421348571777 -4.9310479164123535
12.9049654006958 -4.709836959838867
13.16145133972168 -4.494685173034668
13.333333015441895 -4.3401360511779785
