LG front_BIXFBOYFVN_0.dat
-3.153379440307617 -4.768992900848389
-3.1275885105133057 -4.690988540649414
-3.0993402004241943 -4.598727703094482
-3.0673205852508545 -4.499934673309326
-3.0302159786224365 -4.402334213256836
-2.986712694168091 -4.313651084899902
-2.7058465480804443 -3.827176809310913
-2.101775646209717 -2.780895471572876
-1.390870213508606 -1.549570918083191
-0.7895000576972961 -0.5079671740531921
-0.5140351057052612 -0.030847899615764618
-0.47975361347198486 0.014623166061937809
-0.4550960063934326 0.022852256894111633
-0.436175674200058 0.011430604383349419
-0.4191058874130249 -0.002050558337941766
-0.4000000059604645 6.0092582870930764e-18
-0.4191058874130249 -0.06413418799638748
-0.436175674200058 -0.13674680888652802
-0.4550960063934326 -0.2137104570865631
-0.47975361347198486 -0.2908977270126343
-0.5140351057052612 -0.3641812205314636
-0.7895000576972961 -0.8413005471229553
-1.390870213508606 -1.882904291152954
-2.101775646209717 -3.1142287254333496
-2.7058465480804443 -4.160510063171387
-2.986712694168091 -4.646984577178955
-3.0302159786224365 -4.709001064300537
-3.0673205852508545 -4.73993444442749
-3.0993402004241943 -4.752060890197754
-3.1275885105133057 -4.757655143737793
-3.153379440307617 -4.768992900848389
